transaction_id,amount,time_gap_minutes
txn_xaji0y6d,305.21,32.79
txn_ahxthv3a,260.46,43.4
txn_mf8mdd4v,237.4,58.52
txn_nt3w5uzb,151.63,20.92
txn_cidkwnnh,356.57,38.5
txn_g0fn9xuy,205.19,47.68
txn_ibljh75l,109.36,30.24
txn_jiujv6oh,358.2,33.02
txn_dbdw2pcn,40.59,52.34
txn_azytjxep,211.26,57.46
txn_5jsg65kx,327.76,34.67
txn_2tala753,361.15,8.19
txn_58drc11e,190.26,52.98
txn_pht0hl9x,230.67,33.47
txn_eimvihcw,381.35,8.9
txn_iyhe7ur2,161.24,15.47
txn_dppq0y9d,165.33,18.68
txn_gqpki7p5,384.72,7.78
txn_94874frh,322.85,59.19
txn_j2qp89uz,278.12,21.32
txn_8ut0cvs4,281.71,15.22
txn_vyie6ivw,242.02,37.1
txn_s7hzioyk,250.36,30.21
txn_99chj755,218.95,13.68
txn_4zw9xa3k,289.84,11.35
txn_dtjvzhwj,233.92,54.79
txn_4dpja1wj,169.9,5.53
txn_c56t4ufe,223.04,54.44
txn_246hid25,216.34,56.14
txn_5935a0l7,218.13,52.52
txn_3j2d54i3,201.57,17.52
txn_agl58kxo,384.02,34.49
txn_7e8g8jdp,207.46,33.13
txn_nujza7tz,350.59,41.88
txn_ncxll4zk,181.9,21.26
txn_ep7y6wkt,10738.27,0.57
txn_uxqphr62,294.19,9.66
txn_swm31yih,9896.85,0.62
txn_4cowgzri,383.31,47.35
txn_dpg8sbi4,254.65,49.08
txn_y9v86wzs,87.01,45.9
txn_rjiw1swj,10714.56,0.4
txn_lteiyzco,199.44,27.87
txn_hp6vz41n,12035.18,0.93
txn_48p0tvhh,321.21,42.35
txn_ofqewaou,17854.99,0.25
txn_qbnhl1n1,263.13,18.87
txn_cat9mx2x,300.7,6.12
txn_feyuhz1g,233.39,46.14
txn_e38daly8,243.06,42.98
txn_wd14ve92,218.96,28.56
txn_nsm43d8w,227.33,45.36
txn_8j3trp0j,167.51,50.69
txn_d5iqvnb4,283.73,23.72
txn_5zja8dzr,389.02,42.98
txn_xr2dhylu,167.36,46.03
txn_lzjjeget,233.74,15.18
txn_hr09skdg,255.79,34.38
txn_j9tze5r5,262.2,30.82
txn_pgb7r3oc,292.92,35.96
txn_k9e1v2is,265.03,29.35
txn_49kwv08h,225.05,14.56
txn_caqvkizz,210.45,42.81
txn_72wx7ptx,264.26,14.13
txn_l0ukeyz7,222.71,32.16
txn_cbpljd84,550.16,41.98
txn_jb1qx6gv,154.11,32.04
txn_dmly4lyk,289.32,30.02
txn_ll8os9xt,156.85,15.32
txn_n1w1ht7p,405.53,38.49
txn_ifttd96q,398.7,50.77
txn_rzsj49it,334.06,53.36
txn_5j2o7s3k,205.07,37.28
txn_9rftmttq,296.51,36.45
txn_i1b0z3nx,364.63,58.94
txn_rbsv55ps,235.84,41.01
txn_fq8myx44,169.05,25.9
txn_lz15bcw7,248.27,10.41
txn_w5py6b2k,164.67,13.01
txn_tu2gc5wi,305.35,18.97
txn_ja26yfpm,319.65,40.14
txn_pj4hnriu,316.85,58.79
txn_xjuy0bvr,246.93,20.74
txn_2vmwwyzx,130.22,40.55
txn_lpu0dk0g,125.23,34.67
txn_8t63j3r3,229.06,57.96
txn_f840982n,283.58,5.77
txn_tqyyv37d,414.08,35.88
txn_6hc36kof,276.01,21.74
txn_rd5eqy08,247.75,27.82
txn_dro8bnp8,203.7,10.46
txn_yt9moge4,190.28,37.84
txn_a2ieuc1h,152.17,52.83
txn_lf6a4fej,240.31,5.82
txn_2ilgb0s0,234.5,47.79
txn_sds8b25s,277.62,31.34
txn_oyr6ccvc,243.65,39.82
txn_tl9tqvdz,170.14,44.65
txn_hqimqodp,138.75,25.59
txn_f7c3dd03,162.06,23.13
txn_emx15z8v,196.89,36.79
txn_hxid4n1u,372.02,50.01
txn_wxa73jgz,70.84,23.69
txn_a5uofwb0,186.02,25.35
txn_z1udbfwy,285.26,41.41
txn_rpj1epky,237.87,26.74
txn_vakhejla,228.84,14.66
txn_nzs43c5b,23423.25,1.05
txn_uuzpeal2,338.57,9.85
txn_4ivsolml,93.64,33.08
txn_es6m033i,285.34,46.81
txn_xg1r11q7,352.74,39.94
txn_w5wfcpkj,15146.74,0.44
txn_qc3c54ws,116.44,54.27
txn_q3xlrfcd,202.56,23.89
txn_zsgippsf,233.17,23.61
txn_v2xcdyk0,330.27,54.85
txn_5mufm8zo,313.7,25.72
txn_23y30ysx,223.85,24.9
txn_ngh8riec,360.52,50.93
txn_5bm1enf3,331.52,49.5
txn_fpoyipk0,182.72,49.47
txn_q4n89qkn,235.4,58.14
txn_32ejx5td,288.91,46.97
txn_j6fp8hqm,6065.14,0.65
txn_i9nb74x2,197.26,20.78
txn_3zezqacj,127.06,34.03
txn_ekkbp2qd,211.07,37.82
txn_asifpwio,436.26,8.72
txn_ss9toqw9,361.13,5.89
txn_2m0w10lb,269.29,47.85
txn_qzw3c1qk,8989.4,0.15
txn_7s9tj1gm,204.26,52.62
txn_len606n9,68.26,33.56
txn_20cv3tlc,252.83,21.86
txn_vpymb5m9,442.94,9.13
txn_wn2y8fv2,6344.67,0.96
txn_nnuvy8n1,225.66,34.12
txn_oxie0rnu,244.38,59.8
txn_k6re4q6q,18638.59,1.03
txn_lmct64z7,336.8,48.65
txn_sehe2atn,145.67,9.74
txn_l9zs13c9,214.9,29.75
txn_ym52xg8p,288.72,13.42
txn_flzm764j,264.05,35.3
txn_ektsg7fx,128.54,36.0
txn_3bbxux1o,155.62,32.39
txn_wk8r2ykc,13792.11,0.63
txn_hvlz049e,185.06,30.66
txn_jidknwi5,223.5,23.01
txn_ul1rsrla,41.45,16.83
txn_mbr5xqt4,242.86,53.54
txn_01nouhtc,255.86,59.4
txn_ye9o2m71,185.46,33.0
txn_sbelrqvs,213.88,59.48
txn_0km3tzk3,218.93,42.06
txn_9v20yar8,267.19,44.68
txn_vgww4fyb,146.38,11.04
txn_alfyo175,290.32,16.4
txn_lxslg6mm,266.63,44.65
txn_xyvgiui9,236.77,43.77
txn_lm72jeyn,302.9,50.01
txn_82kkzmpj,279.51,56.32
txn_zewviytw,13266.03,0.89
txn_d1at7o75,345.02,15.97
txn_8lx6dut0,292.44,53.52
txn_g79or787,224.26,5.51
txn_ud9k9tr7,198.69,11.2
txn_fqjg02u1,260.45,52.09
txn_63sdygfl,246.03,46.46
txn_8k0axyce,308.5,27.3
txn_s6zle6kw,280.82,46.13
txn_votqtxhi,284.33,53.02
txn_cqzcucts,291.99,33.62
txn_ehuds3qs,307.68,8.18
txn_q30o30ub,486.12,56.4
txn_c7bo119x,350.0,59.61
txn_n56nyxtx,293.15,34.09
txn_0iaakytt,339.45,18.61
txn_mj70e3p1,304.09,10.55
txn_bvzb0oih,255.33,8.1
txn_sk30lvyl,323.05,17.16
txn_kc856wpr,342.09,56.79
txn_y2lofn1r,210.68,49.32
txn_6u8ueihx,369.13,51.59
txn_d0gjyv5g,233.55,31.37
txn_5l8a78e9,148.98,18.34
txn_vh6t1ntm,156.48,10.42
txn_9q46nouh,242.45,19.34
txn_7upfln4r,225.44,50.19
txn_8xrg2gzr,193.39,34.82
txn_xcb48y1o,264.59,5.5
txn_snwywrra,374.53,5.65
txn_tj9a3y36,287.36,15.56
txn_s3jonou9,275.84,42.62
txn_4x41dntc,8427.67,0.65
txn_p2u4dtbh,319.13,7.56
txn_c76ub7l8,191.0,46.37
txn_zocfi4o6,251.55,59.37
txn_0s9bp4m1,206.1,26.82
txn_1bj9rm7p,231.98,39.02
txn_2zcfzw0l,221.33,5.29
txn_lmjegqto,12078.29,0.2
txn_vlnknd66,206.13,25.94
txn_ekrcpprc,228.69,18.56
txn_wvhdk8lw,215.39,49.85
txn_49el8hl8,313.39,21.03
txn_zruin3oe,165.92,42.49
txn_t8qzpky3,194.98,27.5
txn_rwixz2c9,172.79,55.62
txn_yt2m6twd,305.5,41.17
txn_mxb9yo18,311.77,33.09
txn_suuqo1vs,254.1,6.35
txn_do8e7flq,159.55,29.1
txn_zlk3e4xy,259.74,59.11
txn_igfu8iog,232.27,38.78
txn_hvnzh13c,258.05,52.96
txn_glqj5sxv,186.8,51.5
txn_w3zkwdee,211.54,15.07
txn_yspengwy,351.79,31.93
txn_flqbmae3,249.94,32.8
txn_ryo4rcb1,234.55,14.25
txn_q01tee13,348.15,50.24
txn_bzt9d31k,179.6,49.92
txn_p91i3vmz,273.01,14.13
txn_fhhcmktl,234.56,52.19
txn_9yd82795,311.18,52.63
txn_iz31yruj,141.75,53.41
txn_dsk7n8la,283.68,45.3
txn_0qxmcthp,232.55,23.58
txn_uurmybd2,399.17,11.83
txn_4pa8hyex,308.39,41.0
txn_jn6fokzi,223.74,43.7
txn_areiyaz3,212.38,8.9
txn_n0dl5e11,269.98,59.61
txn_ftaxp0wf,188.44,9.77
txn_d1vn8lfj,16067.93,0.76
txn_v2y4xkss,103.81,21.25
txn_b68rervt,435.85,12.26
txn_4uny181a,10243.71,0.14
txn_c2swsozc,234.65,38.88
txn_jlsh3tow,237.58,43.43
txn_04cdpqvl,223.14,45.74
txn_ezzf8s2z,347.4,19.78
txn_51b3jczu,14103.96,0.5
txn_runjdu0i,349.8,7.42
txn_5iqnf74t,245.11,22.7
txn_ozjcns6g,166.73,58.98
txn_8cqk4lta,187.3,39.25
txn_qvr1h61i,13200.72,0.36
txn_m458ax40,223.42,34.14
txn_irc9zd76,226.53,58.6
txn_dde3cup8,176.42,19.35
txn_l2z0ljch,209.93,14.04
txn_qot8hlje,226.4,42.73
txn_3zb4ldim,222.57,59.49
txn_boq0iq2f,21607.45,1.18
txn_e3nwxuj3,6289.44,1.09
txn_pe63lbqg,194.28,50.19
txn_obyghgk5,17383.53,0.37
txn_kotckeh5,151.91,48.72
txn_92mtr6sn,144.55,22.54
txn_h62c9t19,344.6,19.66
txn_37c9h42m,318.86,51.49
txn_gv3z6bz8,202.34,59.34
txn_5rlrdihs,23357.92,0.32
txn_ez74lav7,230.05,51.56
txn_48n7odke,384.43,57.84
txn_xg8y72iv,205.1,21.88
txn_ye088o98,17047.77,1.11
txn_8hu7f0i9,275.91,43.99
txn_x5qjicjd,12718.74,0.91
txn_85rntdr5,227.25,42.79
txn_fc4kl8cg,238.63,54.4
txn_dvwrb7f6,149.96,10.57
txn_hgzz0jki,16435.4,1.02
txn_fmpkxvha,241.41,51.41
txn_lorxdtg5,281.94,29.52
txn_jqijc1yd,44.59,37.43
txn_t43pt5r5,195.26,9.34
txn_6zs62ywe,357.47,58.47
txn_3ep9p9w4,454.15,55.09
txn_6cnoljq5,180.38,28.08
txn_ofv177ud,182.06,34.46
txn_monrvbjf,242.2,53.93
txn_li076a3k,228.89,32.04
txn_zd5e9p3j,218.5,16.63
txn_30153sfl,209.1,12.46
txn_45bg34iq,232.0,50.29
txn_swebnvg5,188.57,24.24
txn_f60yknfu,322.0,42.27
txn_joa21a6x,159.68,5.47
txn_j2k8xpnm,132.32,50.34
txn_odsx4nxv,274.99,10.95
txn_c9x5jz6k,266.65,49.3
txn_2vxyzx9j,79.25,26.36
txn_bzug0it2,205.12,51.5
txn_45gdej31,166.05,42.38
txn_mdm0l2lj,303.58,52.65
txn_v7c6s5nk,22084.8,0.25
txn_hou6qlz2,177.42,39.71
txn_gwaj1g1r,343.98,39.84
txn_o8nbhnal,308.03,15.48
txn_ywiymenv,280.13,21.0
txn_0vm59m6m,189.79,57.14
txn_7oi0e0vg,237.08,53.21
txn_jtb9xxay,232.09,25.91
txn_trfzwkxx,215.77,50.69
txn_dzeedhhj,223.23,16.09
